"Task","ID","Segmenter","Trial","Word","WorldBet","TargetC","TargetV","AudioPrompt","PicturePrompt","TrialXMin","TrialXMax","Repetition","Context","SegmInterval","SegmXMin","SegmXMid","SegmXMax","SegmNotes","Tagger","ConsType","PlaceTrans","TagInterval","TagXMin","TagXMid","TagXMax","burst","burst2","NB","VOT","BurstNotes","VowelContext","Group","Participant","StrictPhonemicAccuracy","PhonemicAccuracy","PeakERB","CentroidERB","CentroidHz","PeakHz","Centroid.kHz","PeakHz.kHz","CentroidERB.c","PeakHz.kHz.c","Centroid.kHz.c","PeakERB.c","Age"
"RealWordRep","002L51FS4","BS","Test2","tent","tEnt","t","E","TENT_H_01_TP2","tent1",152.632564299983,158.459611419538,1,"Response",14,152.632564299983,153.832529573517,155.03249484705,"","AJ","Stop","t",2,152.632564299983,153.832529573517,155.03249484705,153.467081845262,NA,NA,153.520517862996,"","Front","NH","002L",1,1,34.3,31.5779699728229,7457.85753161794,9173,7.45785753161794,9.173,7.6442934485989,6.48010077120823,4.03212992301671,10.8202570694087,"51"
"RealWordRep","002L51FS4","BS","Test4","teddy bear","tEdibEr","t","E","TDBR_H_02_TP2","TEDY_03",168.383623583701,169.721115302293,1,"Response",20,168.383623583701,169.052369442997,169.721115302293,"","AJ","Stop","t",4,168.383623583701,169.052369442997,169.721115302293,168.473258711834,NA,NA,168.591733301019,"","Front","NH","002L",1,1,34.9,27.950963862778,5732.97445822317,969,5.73297445822317,0.969,4.01728733855407,-1.72389922879177,2.30724684962193,11.4202570694087,"51"
"RealWordRep","002L51FS4","BS","Test14","tongue","tVN","t","V","TNGE_H_01_TP2","TNGE_02",240.632474127688,241.930177469826,1,"Response",48,240.632474127688,241.281325798757,241.930177469826,"","AJ","Stop","t",6,240.632474127688,241.281325798757,241.930177469826,240.948381553484,NA,NA,240.990558383595,"","Back","NH","002L",1,1,32.4,30.3129977016361,6369.34716033539,7309,6.36934716033539,7.309,6.3793211774122,4.61610077120823,2.94361955173415,8.92025706940874,"51"
"RealWordRep","002L51FS4","BS","Test15","cookie","kUki","k","U","CKIE_H_01_TP2","CKIE_02",244.77554626658,257.262307854652,1,"Response",50,244.77554626658,245.563380504165,246.351214741749,"","AJ","Stop","k",8,244.77554626658,245.563380504165,246.351214741749,245.225114430085,245.198360664257,NA,245.313437699866,"","Back","NH","002L",1,1,22.4,23.5063904535456,3196.85351424457,2323,3.19685351424457,2.323,-0.427286070678317,-0.369899228791774,-0.228874094356669,-1.07974293059126,"51"
"RealWordRep","002L51FS4","BS","Test18","tape","tep","t","e","TAPE_H_01_TP2","TAPE_01",269.36372533361,270.940659132746,1,"Response",60,269.36372533361,270.152192233178,270.940659132746,"","AJ","Stop","t",10,269.36372533361,270.152192233178,270.940659132746,269.844954385335,NA,NA,269.935885835395,"","Front","NH","002L",1,1,32.1,25.4495472574758,4421.87915717949,933,4.42187915717949,0.933,1.51587073325181,-1.75989922879177,0.99615154857825,8.62025706940874,"51"
"RealWordRep","002L51FS4","BS","Test21","toaster","tost6r","t","o","TSTR_H_01_TP2","toaster1",284.405351485706,285.95614972127,1,"Response",68,284.405351485706,285.180750603488,285.95614972127,"","AJ","Stop","t",12,284.405351485706,285.180750603488,285.95614972127,284.679747022799,NA,NA,284.804338739863,"","Back","NH","002L",1,1,33.8,30.8529473436819,6844.77564257849,8651,6.84477564257849,8.651,6.91927081945793,5.95810077120823,3.41904803397725,10.3202570694087,"51"
"RealWordRep","002L51FS4","BS","Test23","candle","kaend6l","k","ae","CNDL_H_03_TP2","candle1",292.406194326046,293.884113303179,1,"Response",72,292.406194326046,293.145153814612,293.884113303179,"","AJ","Stop","k",14,292.406194326046,293.145153814612,293.884113303179,292.832181705756,NA,NA,292.925545057529,"","Front","NH","002L",1,1,25.1,23.9220583089432,3460.77097201477,927,3.46077097201477,0.927,-0.0116182152807802,-1.76589922879177,0.0350433634135352,1.62025706940874,"51"
"RealWordRep","002L51FS4","BS","Test24","table","tebl","t","e","TABL_H_01_TP2","TABL_01",297.008955125998,298.326602911315,1,"Response",74,297.008955125998,297.667779018656,298.326602911315,"","AJ","Stop","t",16,297.008955125998,297.667779018656,298.326602911315,297.245022739307,NA,NA,297.338249678794,"","Front","NH","002L",1,1,32.1,26.8143627974665,4758.244603458,951,4.758244603458,0.951,2.88068627324254,-1.74189922879177,1.33251699485676,8.62025706940874,"51"
"RealWordRep","002L51FS4","BS","Test26","toothbrush","tuTbrVS","t","u","THBR_H_01_TP2","toothbrush1",304.705109405249,306.009578879592,1,"Response",78,304.705109405249,305.35734414242,306.009578879592,"","AJ","Stop","t",18,304.705109405249,305.35734414242,306.009578879592,304.808967688187,NA,NA,304.86380153004,"","Back","NH","002L",1,1,33.9,30.2063397483648,6415.06480358931,8641,6.41506480358931,8.641,6.27266322414082,5.94810077120823,2.98933719498807,10.4202570694087,"51"
"RealWordRep","002L51FS4","BS","Test27","candy","kaendi","k","ae","CNDY_H_01_TP2","CNDY_02",308.320740348853,309.612245712169,1,"Response",80,308.320740348853,308.966493030511,309.612245712169,"","AJ","Stop","k",20,308.320740348853,308.966493030511,309.612245712169,308.592289792274,NA,NA,308.736620314793,"","Front","NH","002L",1,1,25.4,25.1967702037371,3513.7469025774,3307,3.51374690257741,3.307,1.2630936795132,0.614100771208226,0.0880192939761675,1.92025706940874,"51"
